"2023-10-20 at 0:27"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2023-10-20	0:27:50	-2.25787e1	-1.29156e-2	-2.73149e2	5.16201e1	7.11760e1	-4.7270059e-3	-1.0311603e-4	2.4125490e1	7.5818271e-1	
2023-10-20	0:27:51	-2.18191e1	-1.92790e-2	-2.73149e2	5.16167e1	7.11757e1	-4.5640468e-3	-1.5401840e-4	2.4144792e1	7.6569738e-1	
2023-10-20	0:27:51	-2.18691e1	-1.35749e-2	-2.73149e2	5.16168e1	7.11584e1	-4.5735836e-3	-1.0836124e-4	2.4142274e1	7.6268348e-1	
2023-10-20	0:27:52	-2.22244e1	-1.81054e-2	-2.73149e2	5.16168e1	7.11632e1	-4.6501159e-3	-1.4460086e-4	2.4115419e1	7.6330890e-1	
2023-10-20	0:27:52	-2.21437e1	-2.88497e-2	-2.73149e2	5.16167e1	7.11672e1	-4.6330690e-3	-2.3066997e-4	2.4158220e1	7.5761518e-1	
2023-10-20	0:27:53	-2.19645e1	-1.89651e-2	-2.73149e2	5.16134e1	7.11789e1	-4.5955181e-3	-1.5151500e-4	2.4133882e1	7.6622672e-1	
2023-10-20	0:27:53	-2.16252e1	-1.72872e-2	-2.73149e2	5.16134e1	7.11569e1	-4.5212507e-3	-1.3804435e-4	2.4147310e1	7.6969928e-1	
2023-10-20	0:27:54	-2.23912e1	-1.69169e-2	-2.73149e2	5.16167e1	7.11480e1	-4.6848058e-3	-1.3506412e-4	2.4115419e1	7.5412468e-1	
2023-10-20	0:27:54	-2.25272e1	-1.22273e-2	-2.73149e2	5.16134e1	7.11875e1	-4.7168731e-3	-9.7632408e-5	2.4132204e1	7.6146960e-1	
2023-10-20	0:27:55	-2.19011e1	-2.16770e-2	-2.73149e2	5.16167e1	7.11732e1	-4.5814514e-3	-1.7321109e-4	2.4140596e1	7.6876425e-1	
2023-10-20	0:27:55	-2.21914e1	-1.78996e-2	-2.73149e2	5.16134e1	7.11514e1	-4.6422481e-3	-1.4293193e-4	2.4109544e1	7.5453815e-1	
2023-10-20	0:27:56	-2.26590e1	-1.33615e-2	-2.73149e2	5.16134e1	7.11819e1	-4.7447681e-3	-1.0669231e-4	2.4117097e1	7.5556826e-1	
2023-10-20	0:27:56	-2.23571e1	-2.29239e-2	-2.73149e2	5.16201e1	7.11845e1	-4.6800374e-3	-1.8322467e-4	2.4128847e1	7.6805744e-1	
2023-10-20	0:27:57	-2.19504e1	-1.56341e-2	-2.73149e2	5.16201e1	7.11522e1	-4.5905113e-3	-1.2481212e-4	2.4122972e1	7.6833252e-1	
2023-10-20	0:27:57	-2.23729e1	-8.23380e-3	-2.73149e2	5.16168e1	7.11509e1	-4.6811103e-3	-6.5684318e-5	2.4143953e1	7.5585603e-1	
2023-10-20	0:27:58	-2.25045e1	-1.00813e-2	-2.73149e2	5.16167e1	7.11762e1	-4.7111511e-3	-8.0466270e-5	2.4128007e1	7.5559878e-1	
